PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
SUBJECT,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso ,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS
1CA10,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,15,C4,C3,16,C4,C3,16,C4,C3,16
1DA1,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,C1,11,C1,C2,12,C2,C2,13,C2,C2,13,C2,C2,13,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA2,A1,A1,2,B1,B1,4,B1,B2,5,B2,B3,7,B3,B3,6,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA3,A1,A1,2,A1,B2,4,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C3,15,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16
1DA4,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1DA5,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA6,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B4,10,C1,C1,11,C1,C1,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1DA7,A1,A1,2,B2,B1,5,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA8,A1,A1,2,B2,B1,5,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C1,C2,12,C1,C2,12,C2,C3,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA9,A1,A1,2,A1,B1,3,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1DA10,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1PC1,A1,A1,2,B2,B1,5,B2,B2,6,B3,B2,7,C1,B3,9,C2,B3,10,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1PC2,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1PC3,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1PC4,A1,A1,2,B1,B2,5,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1PC5,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1PC6,A1,A1,2,B2,B2,6,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1PC7,A1,A1,2,B1,B1,4,C1,B2,8,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1PC8,A1,A1,2,B2,B3,7,B3,B4,9,C1,C1,11,C2,C1,12,C2,C1,12,C2,C1,12,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15
1PC9,A1,A1,2,B2,B2,6,B3,B2,7,C1,B3,9,C3,B4,13,C3,B4,13,C4,C1,14,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16
1PC10,A1,A1,2,B2,B3,7,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1NC1,A1,A1,2,A1,B1,3,B1,B2,5,B1,B3,6,B2,B3,7,B3,B4,9,C1,B4,10,C1,C1,11,C1,C1,11,C2,C1,12,C2,C2,13,C2,C2,13,C2,C2,12,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16
1NC2,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1NC3,A1,A1,2,B2,B2,6,B3,B3,8,B3,B4,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
